data,ur,gr,podgr,lesson,prepod,aud
31.10.2022,1,А-203,0,ТД_авто,Кочергин Е.В.,105
31.10.2022,2,А-203,0,ТД_авто,Кочергин Е.В.,105
31.10.2022,3,А-203,0,РемАвт,Кочергин Е.В.,105
31.10.2022,4,А-203,0,РемАвт,Кочергин Е.В.,105
31.10.2022,6,А-203,0,ТПВАКВС,Кочергин Е.В.,105
31.10.2022,7,А-203,0,ТПВАКВС,Кочергин Е.В.,105
31.10.2022,8,А-203,0,ФизКульт,Неганов И.И.,Спортзал
31.10.2022,9,А-203,0,ФизКульт,Неганов И.И.,Спортзал
31.10.2022,1,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,2,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,3,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,4,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,5,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,6,А-212,(I),Учебная практика,Москвичев А.Е.,602
31.10.2022,7,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,8,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,9,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,10,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,11,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,12,А-212,(II),Учебная практика,Иванов Н.С.,602
31.10.2022,1,А-221,0,КураторЧас,Гопп О.С.,432
31.10.2022,2,А-221,0,Литература,Гопп О.С.,432
31.10.2022,3,А-221,0,Литература,Гопп О.С.,432
31.10.2022,5,А-221,0,Физика,Кулаева И.Н.,104
31.10.2022,6,А-221,0,Физика,Кулаева И.Н.,104
31.10.2022,7,А-221,0,Обществ,Шарова Н.Ш.,205
31.10.2022,8,А-221,0,Обществ,Шарова Н.Ш.,205
31.10.2022,1,АТ-22-1,0,История,Кошеленко И.П.,422
31.10.2022,2,АТ-22-1,0,История,Кошеленко И.П.,422
31.10.2022,4,АТ-22-1,0,Литература,Гопп О.С.,432
31.10.2022,5,АТ-22-1,0,Литература,Гопп О.С.,432
31.10.2022,6,АТ-22-1,0,Биология,Верченко О.В.,409
31.10.2022,7,АТ-22-1,0,Биология,Верченко О.В.,409
31.10.2022,8,АТ-22-1,0,КураторЧас,Кошеленко И.П.,422
31.10.2022,1,ГД-203,(I),Черчение,Глушкова О.Б.,217
31.10.2022,1,ГД-203,(II),Стиль,Ермолаева Л.Ш.,202
31.10.2022,2,ГД-203,(I),Черчение,Глушкова О.Б.,217
31.10.2022,2,ГД-203,(II),Стиль,Ермолаева Л.Ш.,202
31.10.2022,4,ГД-203,0,КураторЧас,Ненова Л.П.,201
31.10.2022,5,ГД-203,(I),Стиль,Ермолаева Л.Ш.,202
31.10.2022,5,ГД-203,(II),СтрДиз,Ненова Л.П.,201
31.10.2022,6,ГД-203,(I),Стиль,Ермолаева Л.Ш.,202
31.10.2022,6,ГД-203,(II),СтрДиз,Ненова Л.П.,201
31.10.2022,3,ГД-221,0,КураторЧас,Ермолаева Л.Ш.,202
31.10.2022,4,ГД-221,0,Математика,Молькова Т.В.,306
31.10.2022,5,ГД-221,0,Математика,Молькова Т.В.,306
31.10.2022,7,ГД-221,(I),ИнЯз,Ермолаева Л.Ш.,202
31.10.2022,7,ГД-221,(II),Инф,Ненова Л.П.,201
31.10.2022,8,ГД-221,(I),ИнЯз,Ермолаева Л.Ш.,202
31.10.2022,8,ГД-221,(II),Инф,Ненова Л.П.,201
31.10.2022,9,ГД-221,(I),Инф,Ненова Л.П.,201
31.10.2022,9,ГД-221,(II),ИнЯз,Ермолаева Л.Ш.,202
31.10.2022,10,ГД-221,(I),Инф,Ненова Л.П.,201
31.10.2022,10,ГД-221,(II),ИнЯз,Ермолаева Л.Ш.,202
31.10.2022,1,ДОШ-19-4,0,ВзаимРодит,Дворянских Л.З.,310
31.10.2022,2,ДОШ-19-4,0,ВзаимРодит,Дворянских Л.З.,310
31.10.2022,3,ДОШ-19-4,0,ВзаимРодит,Дворянских Л.З.,310
31.10.2022,4,ДОШ-19-4,0,ВзаимРодит,Дворянских Л.З.,310
31.10.2022,6,ДОШ-19-4,0,КураторЧас,Положай М.Н.,407
31.10.2022,7,ДОШ-19-4,(II),ИнЯз,Положай М.Н.,407
31.10.2022,8,ДОШ-19-4,(II),ИнЯз,Положай М.Н.,407
31.10.2022,1,ДОШ-21-2,0,КураторЧас,Божко О.В.,АктЗал
31.10.2022,2,ДОШ-21-2,0,Педагогика,Божко О.В.,313
31.10.2022,3,ДОШ-21-2,0,Педагогика,Божко О.В.,313
31.10.2022,5,ДОШ-21-2,0,ТОДО,Крахмалева Л.В.,310
31.10.2022,6,ДОШ-21-2,0,ТОДО,Крахмалева Л.В.,310
31.10.2022,7,ДОШ-21-2,0,ОснФизВосп,Крахмалева Л.В.,313
31.10.2022,8,ДОШ-21-2,0,ОснФизВосп,Крахмалева Л.В.,313
31.10.2022,9,ДОШ-21-2,(I),ОснфизЗдор,Карманова М.Ю.,313
31.10.2022,10,ДОШ-21-2,(I),ОснфизЗдор,Карманова М.Ю.,313
31.10.2022,10,ДОШ-21-4зк,0,ОснфизЗдор,Узких А.В.,310
