data;ur;gr;podgr;lesson;prepod;aud
03.11.2022;1;А-203;0;ТПВАКВС;Кочергин Е.В.;105
03.11.2022;2;А-203;0;ТПВАКВС;Кочергин Е.В.;105
03.11.2022;3;А-203;0;ТПВАКВС;Кочергин Е.В.;105
03.11.2022;4;А-203;0;ТПВАКВС;Кочергин Е.В.;105
03.11.2022;5;А-203;0;РемАвт;Кочергин Е.В.;105
03.11.2022;6;А-203;0;РемАвт;Кочергин Е.В.;105
03.11.2022;8;А-203;0;География;Верченко О.В.;409
03.11.2022;9;А-203;0;География;Верченко О.В.;409
03.11.2022;1;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;2;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;3;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;4;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;5;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;6;А-212;(I);Учебная практика;Москвичев А.Е.;601
03.11.2022;7;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;8;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;9;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;10;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;11;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;12;А-212;(II);Учебная практика;Иванов Н.С.;601
03.11.2022;1;А-221;0;ФизКульт;Неганов И.И.;Спортзал
03.11.2022;2;А-221;0;ФизКульт;Неганов И.И.;Спортзал
03.11.2022;3;А-221;0;Физика;Кулаева И.Н.;104
03.11.2022;4;А-221;0;Физика;Кулаева И.Н.;104
03.11.2022;5;А-221;0;Обществ;Шарова Н.Ш.;211
03.11.2022;6;А-221;0;Обществ;Шарова Н.Ш.;211
03.11.2022;8;А-221;0;Химия;Шулакова И.А.;107
03.11.2022;9;А-221;0;Химия;Шулакова И.А.;107
03.11.2022;1;АТ-22-1;0;Физика;Кулаева И.Н.;104
03.11.2022;2;АТ-22-1;0;Физика;Кулаева И.Н.;104
03.11.2022;3;АТ-22-1;0;Математика;Исламшина Н.С.;309
03.11.2022;4;АТ-22-1;0;Математика;Исламшина Н.С.;309
03.11.2022;5;АТ-22-1;0;Математика;Исламшина Н.С.;309
03.11.2022;6;АТ-22-1;0;Математика;Исламшина Н.С.;309
03.11.2022;8;АТ-22-1;0;Обществ;Шарова Н.Ш.;209
03.11.2022;9;АТ-22-1;0;Обществ;Шарова Н.Ш.;209
03.11.2022;2;ГД-203;(II);Стиль;Ермолаева Л.Ш.;202
03.11.2022;3;ГД-203;(II);Стиль;Ермолаева Л.Ш.;202
03.11.2022;4;ГД-203;(II);Стиль;Ермолаева Л.Ш.;202
03.11.2022;5;ГД-203;(II);Стиль;Ермолаева Л.Ш.;202
03.11.2022;7;ГД-203;(I);Стиль;Ермолаева Л.Ш.;202
03.11.2022;8;ГД-203;(I);Стиль;Ермолаева Л.Ш.;202
03.11.2022;9;ГД-203;(I);ИнЯзПроф;Ермолаева Л.Ш.;202
03.11.2022;10;ГД-203;(I);ИнЯзПроф;Ермолаева Л.Ш.;202
03.11.2022;2;ГД-221;0;Математика;Молькова Т.В.;306
03.11.2022;3;ГД-221;0;Математика;Молькова Т.В.;306
03.11.2022;4;ГД-221;0;ФизКульт;Неганов И.И.;Спортзал
03.11.2022;5;ГД-221;0;ФизКульт;Неганов И.И.;Спортзал
03.11.2022;7;ГД-221;0;ОБЖ;Королев В.В.;304
03.11.2022;8;ГД-221;0;ОБЖ;Королев В.В.;304
03.11.2022;2;ДОШ-19-4;0;ПОПД;Шарова Н.Ш.;211
03.11.2022;3;ДОШ-19-4;0;ПОПД;Шарова Н.Ш.;211
03.11.2022;4;ДОШ-19-4;0;ФизКульт;Шубин А.В.;Спортзал
03.11.2022;5;ДОШ-19-4;0;ФизКульт;Шубин А.В.;Спортзал
03.11.2022;7;ДОШ-19-4;(I);ДетЛит;Божко О.В.;313
03.11.2022;7;ДОШ-19-4;(II);МетРабВосп;Крахмалева Л.В.;310
03.11.2022;8;ДОШ-19-4;(I);ДетЛит;Божко О.В.;313
03.11.2022;8;ДОШ-19-4;(II);МетРабВосп;Крахмалева Л.В.;310
03.11.2022;9;ДОШ-19-4;(I);МетРабВосп;Крахмалева Л.В.;310
